# SYNTHETIC DEMO CROSSWALK — all gene identities below are fabricated for AREE demo purposes.
#
# WARNING: the LOC numbers used here are NOT unused placeholders. Most of them collide
# with real NCBI GeneIDs for Magallana gigas that denote entirely different genes
# (e.g. LOC105333935 is labelled 'hsp70' here but is really ubiquitin carboxyl-terminal
# hydrolase 32; LOC105341000 is labelled 'actin' here but is really ADAMTS adt-1).
# For that reason this file MUST NOT be merged with a real crosswalk — a union would
# silently attach demo biology to real accessions.
#
# This file is the default only so that `make demo` and the test suite stay
# self-contained. To harmonize real studies, build a real crosswalk and select it:
#     aree build-crosswalk
#     export AREE_CROSSWALK=data/reference/crosswalk/mgigas_gene_id_crosswalk.tsv
# See docs/identifier_mapping.md.
ncbi_gene_id	ensembl_gene_id	uniprot_accession	locus_id	gene_symbol	orthogroup_id
LOC105333935	ENSCGRG00000001	K1QN12	LOC105333935	hsp70	OG0000001
LOC105331241	ENSCGRG00000002	K1QN45	LOC105331241	sod1	OG0000002
LOC105329871	ENSCGRG00000003	K1QN78	LOC105329871	cat	OG0000003
LOC105330555	ENSCGRG00000004	K1QN90	LOC105330555	hif1a	OG0000004
LOC105332810	ENSCGRG00000005	K1QP01	LOC105332810	myd88	OG0000005
LOC105328990	ENSCGRG00000006	K1QP22	LOC105328990	casp3	OG0000006
LOC105334500	ENSCGRG00000007	K1QP33	LOC105334500	vmp1	OG0000007
LOC105331890	ENSCGRG00000008	K1QP44	LOC105331890	atp2a	OG0000008
LOC105329100	ENSCGRG00000009	K1QP55	LOC105329100	calm	OG0000009
LOC105330001	ENSCGRG00000010	K1QP66	LOC105330001	gapdh	OG0000010
LOC105333100	ENSCGRG00000011	K1QP77	LOC105333100	hsp90	OG0000011
LOC105328500	ENSCGRG00000012	K1QP88	LOC105328500	il17	OG0000012
LOC105336010	ENSCGRG00000013	K1QQ13	LOC105336010	igf1	OG0000013
LOC105336200	ENSCGRG00000014	K1QQ14	LOC105336200	mstn	OG0000014
LOC105337010	ENSCGRG00000015	K1QQ15	LOC105337010	chsyn	OG0000015
LOC105337500	ENSCGRG00000016	K1QQ16	LOC105337500	sm_matrix	OG0000016
LOC105335200	ENSCGRG00000017	K1QQ17	LOC105335200	novel1	OG0000017
LOC105335777	ENSCGRG00000018	K1QQ18	LOC105335777	novel2	OG0000018
LOC105340010	ENSCGRG00000019	K1QQ10	LOC105340010	aqp_like	OG0000019
LOC105340020	ENSCGRG00000020	K1QQ20	LOC105340020	atp1a_nka	OG0000020
LOC105341000	ENSCGRG00000021	K1QQ21	LOC105341000	actin	OG0000021
