gene_id	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
LOC105333935	4210.5	2.40	0.31	7.74	9.8e-15	0.0008
LOC105333100	3105.2	1.80	0.29	6.21	5.3e-10	0.0030
LOC105331241	980.4	1.10	0.28	3.93	8.5e-05	0.0200
LOC105329871	760.1	0.90	0.30	3.00	0.0027	0.0400
LOC105330555	540.3	0.70	0.32	2.19	0.0286	0.0800
LOC105328990	612.7	1.30	0.33	3.94	8.1e-05	0.0100
LOC105332810	890.2	0.10	0.35	0.29	0.7720	0.9000
LOC105334500	455.6	1.00	0.29	3.45	0.0006	0.0300
LOC105331890	701.9	-0.80	0.31	-2.58	0.0099	0.0450
LOC105329100	388.4	-0.50	0.34	-1.47	0.1416	0.1500
LOC105330001	2201.0	0.60	0.28	2.14	0.0323	0.0900
LOC105328500	310.5	0.05	0.30	0.17	0.8650	0.9500
LOC105335200	215.3	1.50	0.33	4.55	5.4e-06	0.0100
LOC105335777	198.7	-1.20	0.30	-4.00	6.3e-05	0.0200
